,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
84,Airai,0,TL,1540681689,42,-8.93,125.41,81.55,2.06
85,Mumford,12,GH,1540681690,95,5.26,-0.76,78.18,6.2
86,Lebu,0,ET,1540681691,91,8.96,38.73,42.9,3.18
87,Port Hedland,0,AU,1540679400,94,-20.31,118.58,73.4,8.05
88,Emerald,0,AU,1540681562,45,-23.53,148.16,89.97,4.63
89,Alexandria,1,US,1540679700,56,31.31,-92.44,78.8,5.64
90,Campbell River,90,CA,1540678200,87,50.02,-125.24,50.0,9.17
91,Kabanjahe,64,ID,1540681698,100,3.1,98.49,66.48,1.72
92,Tuatapere,92,NZ,1540681699,100,-46.13,167.69,48.93,2.51
93,Port Alfred,0,ZA,1540681700,95,-33.59,26.89,67.78,14.14
94,Dingle,36,PH,1540681495,79,11.0,122.67,79.93,4.41
95,Kruisfontein,0,ZA,1540681702,85,-34.0,24.73,62.83,13.24
96,East London,20,ZA,1540681704,100,-33.02,27.91,69.22,19.06
97,Plettenberg Bay,0,ZA,1540681470,96,-34.05,23.37,62.88,7.43
98,Terney,44,RU,1540681706,100,45.05,136.61,39.03,10.67
99,Tocopilla,44,CL,1540681553,96,-22.09,-70.2,59.32,4.85
100,Kodiak,1,US,1540680780,40,39.95,-94.76,68.0,4.7
101,Kindu,80,CD,1540681710,96,-2.95,25.92,72.6,2.39
102,Tiksi,36,RU,1540681428,77,71.64,128.87,14.46,15.48
103,Arraial do Cabo,92,BR,1540681713,97,-22.97,-42.02,73.32,9.33
104,Teahupoo,20,PF,1540679400,70,-17.83,-149.27,86.0,12.75
105,Sobradinho,0,BR,1540681589,82,-29.41,-53.03,60.67,5.75
106,Jalu,44,LY,1540681717,41,29.03,21.55,66.88,12.12
107,Saint-Philippe,90,CA,1540680900,100,45.36,-73.48,35.6,13.87
108,Wladyslawowo,20,PL,1540681200,93,54.79,18.4,35.6,4.7
109,Alihe,92,CN,1540681720,66,50.57,123.73,26.29,11.9
110,Ancud,92,CL,1540681721,97,-41.87,-73.83,53.2,6.53
111,Ponta do Sol,88,BR,1540681723,86,-20.63,-46.0,69.94,8.88
112,Ushibuka,56,JP,1540681724,99,32.19,130.02,62.02,9.78
113,Clyde River,75,CA,1540677600,92,70.47,-68.59,10.4,20.8
114,Norman Wells,90,CA,1540677600,92,65.28,-126.83,23.0,3.36
115,Mattru,32,SL,1540681728,97,7.62,-11.83,76.24,2.28
116,Port Elizabeth,90,US,1540680900,93,39.31,-74.98,51.8,12.75
117,Praya,20,ID,1540679400,94,-8.71,116.27,73.4,3.36
118,Hithadhoo,64,MV,1540681732,100,-0.6,73.08,80.16,9.44
119,Chuy,20,UY,1540681733,90,-33.69,-53.46,60.13,10.56
120,Geraldton,90,CA,1540677600,74,49.72,-86.95,37.4,4.7
121,Alugan,56,PH,1540681735,97,12.22,125.48,80.02,13.47
122,Dikson,76,RU,1540681737,100,73.51,80.55,24.94,33.6
123,Oroquieta,64,PH,1540681738,95,8.49,123.8,76.83,2.95
124,Butembo,12,CD,1540681740,92,0.12,29.29,58.24,1.61
125,Hauknes,0,NO,1540677000,85,66.28,14.07,15.8,3.36
126,Tuktoyaktuk,90,CA,1540678980,92,69.44,-133.03,26.6,13.87
127,Namatanai,36,PG,1540681743,100,-3.66,152.44,81.51,3.62
128,Hermanus,0,ZA,1540681744,83,-34.42,19.24,61.75,3.85
129,Khovu-Aksy,0,RU,1540681746,66,51.13,93.72,7.17,2.39
130,San Jeronimo,76,PE,1540681753,86,-13.65,-73.37,47.85,2.06
131,Bonavista,20,CA,1540681755,100,48.65,-53.11,40.02,11.68
132,Mount Gambier,20,AU,1540681519,75,-37.83,140.78,56.8,3.4
133,Palu,12,ID,1540681758,90,-0.9,119.87,70.62,1.72
134,Upernavik,92,GL,1540681760,100,72.79,-56.15,23.73,23.31
135,Calama,0,CL,1540677600,11,-22.46,-68.93,75.2,26.4
136,Douentza,0,ML,1540681762,51,15.01,-2.95,66.88,3.62
137,Namibe,0,AO,1540681764,84,-15.19,12.15,78.94,13.02
138,Barrow,0,AR,1540681765,76,-38.31,-60.23,62.02,10.45
139,Bilibino,80,RU,1540681766,83,68.06,166.44,2.44,2.95
140,Srednekolymsk,80,RU,1540681768,77,67.46,153.71,7.48,7.43
141,Bima,0,ID,1540681769,84,-8.45,118.73,80.29,3.29
142,Buala,68,SB,1540681770,82,-8.15,159.59,86.14,4.41
143,Vila Velha,20,BR,1540681200,74,-3.71,-38.6,80.6,6.93
144,Kawalu,88,ID,1540681773,99,-7.38,108.21,68.73,2.73
145,Kempele,0,FI,1540680600,74,64.91,25.51,30.2,11.41
146,Isetskoye,36,RU,1540681776,65,56.49,65.32,31.6,10.22
147,Bibiani,56,GH,1540681777,96,6.45,-2.31,73.05,3.29
148,Curuca,0,BR,1540681778,80,-2.52,-61.06,81.55,3.06
149,Mehamn,88,NO,1540681779,80,71.03,27.85,31.78,14.03
150,Banjarmasin,12,ID,1540681781,92,-3.32,114.59,81.33,3.4
151,Faanui,8,PF,1540681782,100,-16.48,-151.75,80.74,8.43
152,Santa Cruz de Tenerife,68,ES,1540681200,87,28.47,-16.25,69.8,3.36
153,Woodstock,90,CA,1540680120,93,43.13,-80.75,37.4,10.29
154,Barda,88,RU,1540681786,80,56.93,55.59,32.32,7.09
155,Ribeira Grande,32,PT,1540681787,100,38.52,-28.7,67.2,17.49
156,Salamiyah,0,SY,1540681788,71,35.01,37.05,31.87,3.18
157,Milkovo,48,BG,1540681200,100,41.53,24.68,55.4,2.24
158,Longyearbyen,75,NO,1540680600,73,78.22,15.63,19.4,9.17
159,Kholodnyy,8,RU,1540681792,60,62.72,147.95,2.8,2.62
160,Qaqortoq,68,GL,1540680600,86,60.72,-46.03,33.8,6.93
161,Mungwi,8,ZM,1540681795,45,-10.17,31.37,67.24,9.44
162,Merauke,0,ID,1540681796,72,-8.49,140.4,87.67,11.01
163,Sambava,68,MG,1540681797,100,-14.27,50.17,73.68,11.01
164,Port Lincoln,88,AU,1540681799,89,-34.72,135.86,61.84,8.66
165,Worland,1,US,1540679700,53,44.02,-107.96,57.2,29.97
166,Sawakin,36,SD,1540681801,93,19.1,37.33,78.4,10.22
167,Souillac,0,FR,1540681200,75,45.6,-0.6,41.0,9.17
168,Gorontalo,8,ID,1540681596,63,0.54,123.06,84.66,2.73
169,Danville,90,US,1540681020,93,36.59,-79.4,55.4,5.82
170,Sitka,0,US,1540681806,41,37.17,-99.65,66.75,4.85
171,Itaituba,12,BR,1540681808,76,-4.26,-55.99,83.62,2.17
172,Anadyr,40,RU,1540677600,79,64.73,177.51,26.6,13.42
173,Hasaki,40,JP,1540679400,72,35.73,140.83,62.6,10.29
174,Trelew,0,AR,1540681812,48,-43.25,-65.31,60.94,3.18
175,Olinda,40,EC,1540677600,58,-2.03,-79.75,82.4,9.17
176,Quesnel,1,CA,1540677600,70,52.98,-122.49,51.8,6.93
177,Aksu,0,KZ,1540679400,36,52.04,76.93,48.2,13.42
178,Kaitangata,92,NZ,1540681817,100,-46.28,169.85,49.24,6.53
179,Alice Springs,64,AU,1540681818,76,-23.7,133.88,71.83,6.53
180,Ilhabela,100,BR,1540681767,100,-23.78,-45.36,71.61,8.88
181,San Patricio,0,PY,1540681821,68,-26.98,-56.83,64.86,4.52
182,Harlingen,1,US,1540680900,57,26.19,-97.7,84.2,9.17
183,Yokadouma,92,CM,1540681823,99,3.52,15.05,68.23,1.95
184,Meulaboh,80,ID,1540681825,100,4.14,96.13,76.11,1.61
185,Krasne,75,UA,1540681200,100,49.91,24.61,48.2,2.24
186,Vagur,48,FO,1540681827,100,61.47,-6.81,45.37,13.02
187,Lamar,1,US,1540677180,15,38.09,-102.62,80.6,11.41
188,Rameswaram,32,IN,1540681830,100,9.28,79.3,82.77,20.85
189,Saryozek,8,KZ,1540681831,47,44.36,77.98,44.25,5.41
190,Hohhot,0,CN,1540677600,41,40.81,111.65,41.0,15.66
191,Hamilton,75,BM,1540680900,73,32.3,-64.78,75.2,21.92
192,Jiuquan,0,CN,1540681835,47,39.73,98.49,22.33,4.52
193,Cherskiy,76,RU,1540681837,83,68.75,161.3,-5.12,3.51
194,The Valley,40,AI,1540677600,78,18.22,-63.06,82.4,5.82
195,Isiro,48,CD,1540681839,98,2.77,27.62,69.67,1.16
196,Inhambane,0,MZ,1540681840,100,-23.87,35.38,64.99,6.64
197,Resistencia,0,AR,1540677600,41,-27.45,-58.99,77.0,9.17
198,Opuwo,56,NA,1540681843,86,-18.06,13.84,62.16,3.51
199,Kaili,0,ID,1540681844,61,-3.46,120.21,78.81,1.95
200,Rosetta,40,EG,1540677600,72,31.4,30.42,62.6,2.24
201,Camacha,40,PT,1540679400,55,33.08,-16.33,66.2,18.34
202,Sangre Grande,20,TT,1540677600,74,10.59,-61.13,82.4,6.93
203,Talas,0,TR,1540678800,70,38.69,35.55,33.8,1.5
204,Adrar,40,DZ,1540677600,46,27.87,-0.29,71.6,5.82
205,Muravlenko,0,RU,1540681851,84,63.79,74.5,27.64,12.24
206,Praia,75,BR,1540677600,88,-20.25,-43.81,68.0,9.66
207,Oudtshoorn,90,ZA,1540680300,100,-33.59,22.2,60.8,8.05
208,Saint Anthony,90,US,1540677360,41,43.97,-111.68,62.6,10.29
209,Champerico,75,MX,1540677000,58,16.38,-93.6,86.0,11.41
210,George,20,NG,1540677600,88,6.63,3.35,80.6,2.24
211,Maneromango,32,TZ,1540681859,91,-7.2,38.78,72.55,2.62
212,Zhigansk,88,RU,1540681860,85,66.77,123.37,18.37,13.58
213,Isangel,0,VU,1540681862,100,-19.55,169.27,76.02,3.85
214,Erenhot,36,CN,1540681863,54,43.65,111.97,37.54,20.85
215,Awbari,0,LY,1540681864,80,26.59,12.77,55.86,3.4
216,Paita,0,PE,1540677600,78,-5.09,-81.11,71.6,12.75
217,Samana,40,EC,1540677600,70,0.12,-76.97,84.2,1.12
218,Townsville,0,AU,1540679400,69,-19.26,146.82,82.4,8.05
219,Flinders,90,AU,1540677600,45,-34.58,150.85,62.6,13.87
220,Talara,0,PE,1540677600,78,-4.58,-81.27,71.6,12.75
221,Ostersund,80,SE,1540680600,74,63.18,14.64,28.4,8.05
222,Sao Filipe,8,CV,1540681874,100,14.9,-24.5,77.91,12.68
223,Bambous Virieux,20,MU,1540677600,88,-20.34,57.76,64.4,8.05
224,Saint-Pierre,90,FR,1540681200,93,48.95,4.24,37.4,5.82
225,Maceio,0,BR,1540681200,78,-9.67,-35.74,75.2,11.41
226,Uyuni,0,BO,1540681879,11,-20.46,-66.82,52.98,12.12
227,Kihei,40,US,1540677360,58,20.76,-156.45,87.8,20.8
228,Shitkino,0,RU,1540681882,71,56.37,98.35,26.74,5.19
229,Scarborough,68,GB,1540680600,81,54.28,-0.41,44.6,13.87
230,Quatre Cocos,20,MU,1540677600,88,-20.21,57.76,64.4,8.05
231,Yar-Sale,88,RU,1540681886,100,66.83,70.83,25.84,14.81
232,Khatanga,64,RU,1540681887,88,71.98,102.47,34.26,17.6
233,Salta,90,AR,1540677600,77,-24.79,-65.41,66.2,11.41
234,Mayo,20,CA,1540677600,69,63.59,-135.9,33.8,2.24
235,San Jorge,24,SV,1540681891,100,13.41,-88.34,81.73,4.63
236,Kazachinskoye,0,RU,1540681893,83,57.69,93.28,31.65,6.2
237,Bodmin,76,GB,1540677000,75,50.47,-4.72,41.0,20.8
238,Mach,0,PK,1540681895,73,29.87,67.33,39.75,2.06
239,Lasa,0,CY,1540681200,77,34.92,32.53,62.6,6.93
240,Ewa Beach,1,US,1540677420,54,21.32,-158.01,86.0,6.93
241,Sabha,0,LY,1540681899,81,27.03,14.43,57.21,2.73
242,Russell,40,AR,1540677600,39,-33.01,-68.8,78.8,5.82
243,Karaton,75,ID,1540679400,88,-6.34,106.1,78.8,3.36
244,Togul,0,RU,1540681903,70,53.47,85.91,29.35,7.54
245,Barra Patuca,88,HN,1540681904,96,15.8,-84.28,80.7,8.32
246,Haines Junction,12,CA,1540681905,73,60.75,-137.51,31.78,1.39
247,Bethel,40,US,1540680780,59,60.79,-161.76,33.8,18.34
248,Atikokan,92,CA,1540681908,98,48.76,-91.62,43.03,6.87
249,Ranau,20,MY,1540681910,85,5.95,116.67,72.33,2.06
250,Lagoa,0,PT,1540679400,54,37.14,-8.45,55.4,8.05
251,Timizart,92,DZ,1540681912,93,36.8,4.25,57.21,3.74
252,Natal,20,BR,1540681200,74,-5.81,-35.21,78.8,8.05
253,Moron,40,VE,1540677600,58,10.49,-68.2,87.8,2.84
254,Mazagao,0,BR,1540681200,70,-0.12,-51.29,86.0,11.41
255,Hami,0,CN,1540681918,48,42.84,93.51,31.78,6.98
256,Jiazi,75,CN,1540677600,78,19.61,110.49,77.0,8.95
257,Jawhar,12,IN,1540681920,65,19.91,73.23,71.38,3.29
258,Northport,1,US,1540677180,52,33.23,-87.58,66.2,6.93
259,Kudahuvadhoo,92,MV,1540681923,100,2.67,72.89,78.63,7.43
260,Pokhara,0,NP,1540681924,77,28.21,83.99,40.24,1.72
261,San Quintin,75,PH,1540677600,78,17.54,120.52,75.2,4.7
262,Fujin,0,CN,1540681927,71,47.24,132.03,32.82,14.7
263,Koslan,80,RU,1540681928,94,63.46,48.9,29.89,3.4
264,Locri,75,IT,1540680900,82,38.24,16.26,66.2,18.34
265,Jutai,8,BR,1540681930,77,-1.71,-47.89,79.48,6.98
266,Luis Correia,20,BR,1540676700,61,-2.88,-41.67,82.4,19.46
267,Bithur,0,IN,1540679400,93,26.68,80.34,66.2,2.73
268,Xining,48,CN,1540681783,75,36.62,101.77,20.85,2.73
269,Ereymentau,88,KZ,1540681935,35,51.62,73.1,56.89,18.05
270,Caaguazu,0,PY,1540681937,67,-25.45,-56.02,64.9,7.87
271,Zabaykalsk,0,CN,1540681941,59,49.64,117.33,20.58,17.6
272,Alofi,92,NU,1540677600,78,-19.06,-169.92,78.8,5.82
273,Cabo San Lucas,40,MX,1540676760,69,22.89,-109.91,89.6,5.64
274,Pundaguitan,20,PH,1540681945,100,6.37,126.17,83.35,6.87
275,Arlit,92,NE,1540681946,50,18.74,7.39,79.62,3.96
276,Labytnangi,80,RU,1540681947,81,66.66,66.39,24.81,7.43
277,Chumikan,92,RU,1540681949,100,54.72,135.31,37.86,20.85
278,Effium,20,NG,1540677600,88,6.63,8.06,78.8,3.36
279,Quang Ngai,92,VN,1540681735,100,15.12,108.8,71.25,2.73
280,Riyadh,75,SA,1540677600,83,24.63,46.72,69.8,9.17
281,Vestmannaeyjar,100,IS,1540681954,100,63.44,-20.27,40.42,29.57
282,Hoi An,20,VN,1540681200,83,15.88,108.33,80.6,6.93
283,Ankang,24,CN,1540681811,73,32.73,108.99,39.43,1.72
284,Abu Kamal,0,SY,1540681763,83,34.45,40.92,43.39,3.18
285,Kongolo,56,CD,1540681958,90,-5.39,27.0,69.81,2.62
286,Saskylakh,88,RU,1540681960,86,71.97,114.09,23.1,24.87
287,Bayangol,0,MN,1540681961,62,48.91,106.09,20.62,4.07
288,Weyburn,0,CA,1540681962,39,49.67,-103.85,47.98,20.18
289,Mayor Pablo Lagerenza,8,PY,1540681963,93,-19.93,-60.77,71.43,5.19
290,Chapais,1,CA,1540677600,58,49.78,-74.86,26.6,5.82
291,Japura,92,ID,1540681966,96,-0.42,102.29,75.25,2.51
292,Mar del Plata,0,AR,1540681873,47,-46.43,-67.52,60.45,4.18
293,Iqaluit,75,CA,1540677600,79,63.75,-68.52,19.4,28.86
294,Sept-Iles,20,CA,1540677600,62,50.2,-66.38,23.0,2.24
295,Torbay,90,CA,1540677600,69,47.66,-52.73,39.2,12.75
296,Walvis Bay,12,NA,1540681972,91,-22.95,14.51,66.25,2.39
297,Ust-Nera,44,RU,1540681973,77,64.57,143.24,2.53,2.51
298,Noyabrsk,0,RU,1540681736,91,63.2,75.45,30.52,9.89
299,Ciudad Bolivar,0,VE,1540681976,43,8.12,-63.55,90.6,15.37
300,Sabang,100,PH,1540681977,100,13.72,123.58,78.22,16.6
301,Prince George,1,CA,1540677600,45,53.92,-122.75,48.2,6.93
302,Yangambi,20,CD,1540681980,100,0.77,24.47,67.2,2.28
303,Dunedin,88,NZ,1540681870,98,-45.87,170.5,49.6,3.85
304,San Pedro,32,AR,1540681983,54,-33.68,-59.66,64.27,11.34
305,Chauk,76,MM,1540681985,98,20.89,94.82,71.65,3.18
306,Aripuana,0,BR,1540681964,91,-9.17,-60.63,79.26,2.06
307,Yumen,0,CN,1540681987,62,40.29,97.04,28.45,6.42
308,Beruwala,36,LK,1540681988,100,6.48,79.98,80.83,13.47
309,Baarn,20,NL,1540680900,75,52.21,5.29,42.8,10.29
310,Terracina,76,IT,1540681991,98,41.29,13.25,63.33,14.81
311,Motygino,0,RU,1540681992,86,58.18,94.69,26.29,4.41
312,Luderitz,32,NA,1540677600,53,-26.65,15.16,73.4,4.7
313,Caravelas,0,BR,1540677600,83,-17.73,-39.27,77.0,11.41
314,Severo-Kurilsk,92,RU,1540681886,98,50.68,156.12,43.53,13.58
315,Topolovgrad,24,BG,1540681997,91,42.08,26.33,59.46,11.23
316,Roebourne,0,AU,1540681998,68,-20.77,117.15,75.52,3.29
317,Kirakira,12,SB,1540681999,100,-10.46,161.92,83.62,6.76
318,Hambantota,80,LK,1540682001,100,6.12,81.12,76.33,4.97
319,Zuwarah,8,LY,1540682002,100,32.93,12.08,68.23,5.41
320,Gweta,0,BW,1540682003,24,-20.21,25.26,70.62,17.27
321,Jodhpur,0,IN,1540682004,49,26.3,73.04,62.92,5.97
322,Poum,0,MK,1540682006,84,41.28,20.71,38.13,1.72
323,Westport,0,IE,1540681805,100,53.8,-9.52,40.6,8.66
324,Lhokseumawe,68,ID,1540682008,100,5.18,97.15,80.25,0.94
325,Vanimo,56,PG,1540681739,100,-2.67,141.3,79.93,5.86
326,Carballo,75,ES,1540681200,81,43.21,-8.69,44.6,4.7
327,Sola,0,NO,1540680600,74,58.89,5.65,30.2,2.24
328,Rio Gallegos,0,AR,1540681200,35,-51.62,-69.22,57.2,8.05
329,Conde,0,BR,1540682014,87,-11.81,-37.61,77.68,13.47
330,Hirara,75,JP,1540677600,64,24.8,125.28,71.6,16.11
331,Jablanica,40,BA,1540677600,68,43.66,17.76,68.0,13.87
332,Truckee,1,US,1540680900,18,39.33,-120.18,78.8,10.29
333,Lompoc,1,US,1540679700,28,34.64,-120.46,84.2,10.29
334,Pevek,48,RU,1540682020,100,69.7,170.27,14.55,11.23
335,Rongcheng,0,CN,1540682022,69,37.16,122.42,54.51,14.47
336,Inirida,24,CO,1540682023,92,3.87,-67.92,78.04,2.73
337,Yarmouth,75,GB,1540680600,93,50.71,-1.5,39.2,11.41
338,Gorele,0,TR,1540678800,71,41.03,39.0,55.4,5.82
339,Garowe,0,SO,1540682027,88,8.41,48.48,61.48,2.73
340,Lima,8,PE,1540681960,62,-12.06,-77.04,61.35,2.06
341,Zhuanghe,32,CN,1540682029,100,39.7,122.97,49.38,12.01
342,Ormara,8,PK,1540682030,93,25.21,64.64,74.44,4.74
343,Christchurch,0,NZ,1540679400,77,-43.53,172.64,59.0,11.41
344,Fairbanks,90,US,1540681080,95,64.84,-147.72,32.0,3.62
345,Lagoa Formosa,56,BR,1540682034,80,-18.77,-46.41,72.06,7.54
346,Buta,48,CD,1540682035,93,2.79,24.73,72.96,2.95
347,Pangai,92,TO,1540682037,100,-19.8,-174.35,73.95,18.5
348,Avera,90,US,1540679700,67,33.19,-82.53,64.4,8.05
349,Coquimbo,0,CL,1540677600,82,-29.95,-71.34,59.0,12.75
350,Kharan,12,PK,1540682040,56,28.58,65.42,58.69,1.61
351,Padang,68,ID,1540682042,100,-0.92,100.36,79.12,5.53
352,Cockburn Town,56,TC,1540682024,100,21.46,-71.14,82.5,9.55
353,Panaba,8,MX,1540682044,56,21.28,-88.27,82.68,8.21
354,Otane,0,NZ,1540682045,74,-39.89,176.62,67.15,7.54
355,Kokopo,64,PG,1540682047,100,-4.34,152.27,81.19,5.86
356,Hobyo,20,SO,1540682048,97,5.35,48.53,74.4,4.18
357,Provideniya,8,RU,1540682049,100,64.42,-173.23,26.92,6.76
358,Rio Bananal,68,BR,1540682050,96,-19.26,-40.34,73.0,8.77
359,Berlevag,88,NO,1540682052,100,70.86,29.09,32.91,15.7
360,Taltal,0,CL,1540682053,85,-25.41,-70.49,60.27,2.17
361,Taoudenni,0,ML,1540682054,35,22.68,-3.98,64.68,2.84
362,Salinopolis,76,BR,1540682055,92,-0.61,-47.36,82.72,12.46
363,Isilkul,92,RU,1540682057,100,54.9,71.26,39.7,12.57
364,Santa Cruz,1,US,1540677360,41,36.97,-122.03,77.0,8.05
365,Ucluelet,90,CA,1540678800,58,48.94,-125.55,53.6,17.22
366,Pangnirtung,88,CA,1540681838,95,66.15,-65.72,23.77,6.2
367,Malkangiri,0,IN,1540682063,89,18.35,81.9,57.88,2.62
368,Mount Isa,48,AU,1540681200,21,-20.73,139.49,82.4,13.87
369,Dingli,20,MT,1540680300,78,35.86,14.38,71.6,13.87
370,Manyana,90,AU,1540677600,45,-35.26,150.51,62.6,13.87
371,Nisia Floresta,20,BR,1540681200,74,-6.09,-35.21,78.8,8.05
372,Urusha,76,RU,1540682069,52,54.05,122.9,25.98,13.24
373,Nanortalik,76,GL,1540682027,94,60.14,-45.24,35.52,14.81
374,Vardo,90,US,1540680900,81,39.62,-77.74,50.0,4.7
